,beer_id,beer_name,brewery_name,beer_style,abv,score,avg_score,ratings,availability,brew_state,brew_city,lat,lng,beer_type,type_code,beer_count,review_id,state,gender,state_id,region,state_count,type_count,region_count,State,TotalPop,Men,Per_Men,Women,Per_Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,rent_mean,hs_degree,male_age_mean,female_age_mean,married,divorced,gender_code,male
10,33,Zombie Dust,3 Floyds Brewing Co., American Pale Ale (APA),6.2,100,4,10791,Year-round, IN , Munster,41.5644798,-87.5125412,Ale,0,366,699,Wisconsin,Male,49,Midwest,63,1185,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
11,38,Doubleganger, Tree House Brewing Company , New England IPA,8.2,100,4,1062,Rotating, MA , Charlton,42.1348444,-71.9643153,IPA,1,38,780,Wisconsin,Male,49,Midwest,63,1407,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
12,39,Hunahpu's Imperial Stout, Cigar City Brewing , American Imperial Stout,10.2,100,4,4387,Spring, FL , Tampa,27.9477595,-82.458444,Stout,4,314,804,Wisconsin,Male,49,Midwest,63,1606,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
13,41,Double Citra®, Hill Farmstead Brewery , New England IPA,8.0,100,4,2038,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257,IPA,1,202,845,Wisconsin,Male,49,Midwest,63,1407,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
14,41,Double Citra®, Hill Farmstead Brewery , New England IPA,8.0,100,4,2038,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257,IPA,1,202,862,Wisconsin,Male,49,Midwest,63,1407,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
15,49,Citra, Kern River Brewing Company , American Imperial IPA,8.0,100,4,1830,Rotating, CA , Kernville,35.7330735,-118.4339459,IPA,1,357,1011,Wisconsin,Male,49,Midwest,63,1407,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
16,50,Double Dry Hopped Congress Street, Trillium Brewing Company , New England IPA,7.2,100,4,1595,Rotating, MA , Boston,42.3602534,-71.0582912,IPA,1,55,1041,Wisconsin,Male,49,Midwest,63,1407,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
17,51,Focal Banger, The Alchemist , New England IPA,7.0,100,4,4119,Year-round, VT , Stowe,44.46537410000001,-72.6860186,IPA,1,62,1059,Wisconsin,Male,49,Midwest,63,1407,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
18,55,Oude Geuze Vintage,Brouwerij 3 Fonteinen, Belgian Gueuze,6.0,99,4,835,Rotating, Belgium , Beersel,50.7683728,4.3051097999999985,Sour,3,36,1147,Wisconsin,Male,49,Midwest,63,336,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
19,74,Triple Sunshine, Lawson's Finest Liquids , American Imperial IPA,10.5,100,4,1011,Rotating, VT , Waitsfield,44.192132,-72.82270759999999,IPA,1,63,1535,Wisconsin,Male,49,Midwest,63,1407,1328,Wisconsin,5763217,2864115,0.496964629,2899102,0.5030353710000001,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222000000003,4328520,53849.416670000006,1797.9583329999998,28390.16667,913.3333332999998,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277777999999,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.1055555560000005,0.28472222199999997,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.5086769489999999,0.10138425400000001,1,1
